car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
KIJANG INNOVA REBORN V 2.0,Toyota,2019,65.076,Jakarta Pusat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,315000000,6420000
MOBILIO E 1.5,Honda,2014,91.739,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,132000000,2690000
KIJANG INNOVA G 2.0,Toyota,2014,139.609,Jakarta Timur,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,180000000,3670000
XPANDER ULTIMATE 1.5,Mitsubishi,2019,71.11,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,1,222000000,4520000
TERIOS X DLX 1.5,Daihatsu,2020,38.952,Jakarta Timur,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,204000000,4160000
BRIO SATYA E 1.2,Honda,2018,40.661,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,146000000,2970000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,65.729,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,215000000,4380000
XPANDER EXCEED 1.5,Mitsubishi,2019,64.707,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,206000000,4200000
AGYA G TRD 1.2,Toyota,2018,44.496,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,132000000,2690000
SERENA HIGHWAY STAR 2.0,Nissan,2019,31.62,Jakarta Timur,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,326000000,6640000
XENIA R DLX 1.3,Daihatsu,2014,48.788,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,124000000,2530000
MOBILIO E 1.5,Honda,2015,112.025,Jakarta Barat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,141000000,2870000
BRIO SATYA E 1.2,Honda,2020,28.648,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,166000000,3380000
PAJERO SPORT DAKAR 4X2 2.4,Mitsubishi,2018,60.88,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,429000000,8740000
TERIOS R DLX 1.5,Daihatsu,2020,68.981,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,217000000,4420000
BRIO SATYA E 1.2,Honda,2018,43.996,Jakarta Selatan,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,144000000,2930000
AVANZA E 1.3,Toyota,2020,52.8,Jakarta Barat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,172000000,3500000
FORTUNER VRZ 4X2 2.4,Toyota,2017,51.475,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,390000000,7950000
KIJANG INNOVA REBORN G 2.0,Toyota,2017,46.01,Jakarta Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,261000000,5320000
CX-5 HIGH 2.5,Mazda,2014,81.916,Jakarta Utara,Automatic,even plate,1,1,0,0,0,0,0,0,0,0,0,200000000,4080000
LIVINA VL 1.5,Nissan,2019,71.142,Jakarta Timur,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,179000000,3650000
HR-V E 1.5,Honda,2016,93.048,Jakarta Selatan,Automatic,odd plate,0,0,0,1,0,0,0,0,0,0,0,195000000,3970000
TERIOS R 1.5,Daihatsu,2018,93.935,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,1,1,0,0,0,0,187000000,3810000
KIJANG INNOVA REBORN G 2.0,Toyota,2017,63.309,Jakarta Pusat,Manual,even plate,0,0,0,0,0,0,0,1,0,0,0,236000000,4810000
LIVINA VL 1.5,Nissan,2019,51.618,Jakarta Timur,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,206000000,4200000
MOBILIO RS 1.5,Honda,2018,36.06,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,173000000,3520000
